id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,label long
Horton-Redfort,Horton Redfort,4,21,0.583333333,8,0.001449595,0.013562269,Horton Redfort
Petyr-Baelish,Littlefinger,20,155,4599.465303,8,0.006048467,0.265769599,Petyr Baelish
Symond-Templeton,Symond Templeton,5,23,35.11627497,8,0.001706649,0.030675425,Symond Templeton
Yohn-Royce,Yohn Royce,8,37,697.0773144,8,0.002590781,0.068133034,Yohn Royce
Areo-Hotah,Areo Hotah,9,118,79.59023142,4,0.002759186,0.074115843,Areo Hotah
Arys-Oakheart,Arys Oakheart,6,60,12.77494034,4,0.001900845,0.057561334,Arys Oakheart
Caleotte,Caleotte,4,27,13.43678598,4,0.001323653,0.043236722,Caleotte
Doran-Martell,Doran,19,175,5168.969111,4,0.005554352,0.263883354,Doran Martell
Obara-Sand,Obara Sand,6,68,7.860822511,4,0.001963568,0.042578461,Obara Sand
Oberyn-Martell,Oberyn Martell,6,25,65.74102948,4,0.001978746,0.05488364,Oberyn Martell
Cedra,Cedra,2,13,0,4,8.67E-04,0.013390352,Cedra
Franklyn-Fowler,Franklyn Fowler,1,3,0,4,5.92E-04,0.008887962,Franklyn Fowler
Gerold-Dayne,Gerold Dayne,5,34,8.592633184,4,0.001633775,0.046991424,Gerold Dayne
Mellei,Mellei,2,8,0,4,0.001029705,0.010369474,Mellei
Morra,Morra,2,8,0,4,0.001029705,0.010369474,Morra
Ricasso,Ricasso,2,7,504,4,0.001321412,0.009681268,Ricasso
Timoth,Timoth,1,3,0,4,5.92E-04,0.008887962,Timoth
Arya-Stark,Arya,24,164,8653.012225,2,0.010412,0.208366732,Arya Stark
Bellegere-Otherys,Bellegere Otherys,1,3,0,2,6.65E-04,0.014987117,Bellegere Otherys
Brea,Brea,3,15,0.5,2,0.001621098,0.01866383,Brea
Brusco,Brusco,2,16,0,2,0.001124544,0.017016109,Brusco
Denyo-Terys,Denyo Terys,2,11,0,2,0.001156921,0.016807817,Denyo Terys
Kindly-Man,Kindly Man,2,30,0,2,0.001156921,0.016807817,Kindly Man
Meralyn,Meralyn,1,9,0,2,6.65E-04,0.014987117,Meralyn
Nan,Nan,2,8,504,2,0.001435972,0.015795059,Nan
Sandor-Clegane,Sandor Clegane,12,56,2097.644812,8,0.004000166,0.226562259,Sandor Clegane
Sansa-Stark,Sansa,26,157,10688.02288,8,0.007840778,0.468395777,Sansa Stark
Syrio-Forel,Syrio Forel,1,4,0,2,6.65E-04,0.014987117,Syrio Forel
Talea,Talea,2,8,0,2,0.001124544,0.017016109,Talea
Ternesio-Terys,Ternesio Terys,2,8,0,2,0.001156921,0.016807817,Ternesio Terys
Umma,Umma,1,6,0,2,6.65E-04,0.014987117,Umma
Waif,Waif,2,33,0,2,0.001156921,0.016807817,Waif
Yorko-Terys,Yorko Terys,1,6,0,2,6.65E-04,0.014987117,Yorko Terys
Red-Oarsman,Red Oarsman,3,12,1006,1,0.001706964,0.019711958,Red Oarsman
Rodrik-Harlaw,Rodrik Harlaw,7,30,551.1391479,1,0.003089524,0.036313101,Rodrik Harlaw
Tristifer-Botley,Tristifer Botley,3,24,0,1,0.001466721,0.018086071,Tristifer Botley
Aurane-Waters,Aurane Waters,9,37,393.652086,5,0.002632772,0.226174954,Aurane Waters
Gyles-Rosby,Gyles Rosby,8,55,6.897893773,5,0.002246097,0.198524776,Gyles Rosby
Harys-Swyft,Harys Swyft,8,39,29.56984485,5,0.002266999,0.224912099,Harys Swyft
Loras-Tyrell,Loras Tyrell,8,91,69.70982185,5,0.002302909,0.263783343,Loras Tyrell
Orton-Merryweather,Orton Merryweather,10,43,273.8072262,5,0.00276977,0.265972565,Orton Merryweather
Paxter-Redwyne,Paxter Redwyne,2,7,16.88990167,0,8.61E-04,0.025491053,Paxter Redwyne
Stannis-Baratheon,Stannis,57,510,29946.60745,0,0.018836,0.749704619,Stannis Baratheon
Tommen-Baratheon,Tommen,25,334,3213.016841,5,0.006947208,0.566128361,Tommen Baratheon
Baelor-I-Targaryen,Baelor I Targaryen,1,5,0,5,5.50E-04,0.060458583,Baelor I Targaryen
Balman-Byrch,Balman Byrch,3,24,0,5,0.001215787,0.074113982,Balman Byrch
Bronn,Bronn,5,22,1035.669444,5,0.002060389,0.121309483,Bronn
Falyse-Stokeworth,Falyse Stokeworth,4,34,2.2,5,0.001485394,0.092420687,Falyse Stokeworth
Balon-Swann,Balon Swann,9,40,1024.942634,4,0.002651837,0.183306396,Balon Swann
Gregor-Clegane,Gregor Clegane,14,78,765.0067759,5,0.003952845,0.268346839,Gregor Clegane
Beric-Dondarrion,Beric Dondarrion,5,23,13.5707242,5,0.001842313,0.087901441,Beric Dondarrion
Catelyn-Stark,Catelyn,12,65,715.2324998,5,0.003632225,0.251734536,Catelyn Stark
Mariya-Darry,Mariya Darry,2,11,0,5,8.98E-04,0.055319918,Mariya Darry
Thoros-of-Myr,Thoros of Myr,3,11,0,5,0.001181651,0.069572761,Thoros of Myr
Biter,Biter,1,5,0,8,5.91E-04,0.024319673,Biter
Brienne-of-Tarth,Brienne,29,264,7446.681962,8,0.010052637,0.385159067,Brienne of Tarth
Blue-Bard,Blue Bard,5,23,193.9667403,5,0.001664394,0.11490077,Blue Bard
Lambert-Turnberry,Lambert Turnberry,3,9,0.333333333,5,0.001206315,0.018764463,Lambert Turnberry
Qyburn,Qyburn,15,93,628.5756445,5,0.004249183,0.322091372,Qyburn
Tallad,Tallad,6,19,244.5137185,5,0.002058884,0.103799745,Tallad
Bonifer-Hasty,Bonifer Hasty,1,4,0,5,5.85E-04,0.049395713,Bonifer Hasty
Boros-Blount,Boros Blount,6,28,14.66243042,5,0.001804037,0.186841674,Boros Blount
Meryn-Trant,Meryn Trant,7,62,3.7,5,0.002069,0.135180369,Meryn Trant
Osmund-Kettleblack,Osmund Kettleblack,15,136,201.1676755,5,0.004170576,0.341377116,Osmund Kettleblack
Bran-Stark,Bran,13,180,3432.659942,6,0.004740824,0.161812442,Bran Stark
Rickon-Stark,Rickon Stark,3,24,0,6,0.001223633,0.047291178,Rickon Stark
Robb-Stark,Robb,14,78,4373.907407,6,0.004990047,0.264340568,Robb Stark
Brella,Brella,1,4,0,8,5.53E-04,0.02903519,Brella
Clarence-Crabb,Clarence Crabb,1,4,0,8,5.91E-04,0.024319673,Clarence Crabb
Creighton-Longbough,Creighton Longbough,3,27,9.380226367,8,0.001437043,0.030350495,Creighton Longbough
Dick-Crabb,Dick Crabb,5,39,586.9243549,8,0.002066975,0.090567848,Dick Crabb
Dontos-Hollard,Dontos Hollard,4,23,0,8,0.001337791,0.123429842,Dontos Hollard
Elder-Brother,Elder Brother,3,11,0,8,0.001291949,0.030260272,Elder Brother
Gendry,Gendry,2,9,0,8,0.001027963,0.026607633,Gendry
Hyle-Hunt,Hyle Hunt,7,59,200.5280256,8,0.002352929,0.097330124,Hyle Hunt
Illifer,Illifer,2,23,0,8,9.98E-04,0.026904876,Illifer
Jeyne-Heddle,Jeyne Heddle,1,4,0,8,5.91E-04,0.024319673,Jeyne Heddle
Joffrey-Baratheon,Joffrey,13,113,385.6082712,5,0.003639062,0.363557487,Joffrey Baratheon
Lysa-Arryn,Lysa Arryn,8,54,612.7590011,8,0.002636124,0.095046005,Lysa Arryn
Meribald,Meribald,5,47,3,8,0.001969541,0.039583709,Meribald
Narbert,Narbert,3,14,0,8,0.001291949,0.030260272,Narbert
Podrick-Payne,Podrick Payne,5,81,506,8,0.002121517,0.041319321,Podrick Payne
Pyg,Pyg,4,22,10.2135597,8,0.001689894,0.034465652,Pyg
Randyll-Tarly,Randyll Tarly,7,34,755.6543906,8,0.00221884,0.112951304,Randyll Tarly
Renly-Baratheon,Renly Baratheon,7,34,681.184347,8,0.002272254,0.202255711,Renly Baratheon
Shagwell,Shagwell,4,26,10.2135597,8,0.001689894,0.034465652,Shagwell
Timeon,Timeon,4,22,19.91479975,8,0.001592618,0.044428579,Timeon
Tyrion-Lannister,Tyrion,52,612,19986.597,7,0.015444012,0.797194142,Tyrion Lannister
Willow-Heddle,Willow Heddle,2,8,0,8,0.001027963,0.026607633,Willow Heddle
Lollys-Stokeworth,Lollys Stokeworth,2,8,504,5,0.001406909,0.008471701,Lollys Stokeworth
Daven-Lannister,Daven Lannister,3,18,0,5,0.001150249,0.064436965,Daven Lannister
Edmure-Tully,Edmure Tully,9,74,422.8139235,5,0.002973966,0.126271716,Edmure Tully
Edwyn-Frey,Edwyn Frey,4,25,0.333333333,5,0.001499593,0.066937756,Edwyn Frey
Emmon-Frey,Emmon Frey,8,44,274.6959593,5,0.002697752,0.112021425,Emmon Frey
Ryman-Frey,Ryman Frey,6,35,3.416666667,5,0.002089708,0.081826427,Ryman Frey
Cedric-Payne,Cedric Payne,1,3,0,8,6.57E-04,0.003412465,Cedric Payne
Dorcas,Dorcas,6,41,1.701388889,5,0.001762617,0.147959946,Dorcas
Dunsen,Dunsen,5,34,0,5,0.001562689,0.1053497,Dunsen
Eddard-Stark,Ned,19,102,6395.244094,0,0.005832538,0.428967342,Eddard Stark
Garlan-Tyrell,Garlan Tyrell,1,3,0,5,5.50E-04,0.060458583,Garlan Tyrell
Garth-Tyrell,Garth Tyrell,1,3,0,5,5.50E-04,0.060458583,Garth Tyrell
High-Septon-(Tyrions),High Septon (Tyrions),2,8,0,7,8.02E-04,0.109190724,High Septon (Tyrions)
High-Sparrow,High Sparrow,8,76,16.04814532,5,0.00239837,0.187703839,High Sparrow
Ilyn-Payne,Ilyn Payne,8,79,93.02778864,5,0.002436744,0.164981613,Ilyn Payne
Jalabhar-Xho,Jalabhar Xho,3,9,143.6482882,5,0.001183336,0.06915945,Jalabhar Xho
Jocelyn-Swyft,Jocelyn Swyft,5,31,0.542857143,5,0.001509961,0.12813734,Jocelyn Swyft
Kevan-Lannister,Kevan Lannister,13,97,540.7573685,5,0.00374952,0.368688921,Kevan Lannister
Mace-Tyrell,Mace Tyrell,16,85,2588.3289,5,0.004634102,0.436027051,Mace Tyrell
