id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,label long
Alliser-Thorne,Alliser Thorne,1,6,0,0,6.04E-04,0.036114197,Alliser Thorne
Alys-Karstark,Alys Karstark,3,24,0,0,0.001221295,0.056605505,Alys Karstark
Sigorn,Sigorn,4,17,32.21028737,0,0.001524308,0.101158607,Sigorn
Alysane-Mormont,Alysane Mormont,3,28,0,1,0.001261661,0.066129895,Alysane Mormont
Justin-Massey,Justin Massey,5,40,16.98809524,1,0.001976116,0.078187482,Justin Massey
Archibald-Yronwood,Archibald Yronwood,4,43,0.75,9,0.001512059,0.03006999,Archibald Yronwood
Cletus-Yronwood,Cletus Yronwood,5,23,235.115645,9,0.001859286,0.060688621,Cletus Yronwood
Gerris-Drinkwater,Gerris Drinkwater,9,100,357.6757311,9,0.003038379,0.101835357,Gerris Drinkwater
Tattered-Prince,Tattered Prince,8,45,1267.919901,9,0.00304931,0.073632803,Tattered Prince
Ellaria-Sand,Ellaria Sand,3,9,0,4,0.001101147,0.031871315,Ellaria Sand
Arnolf-Karstark,Arnolf Karstark,5,20,1030.653694,0,0.002578142,0.066547373,Arnolf Karstark
Arthor-Karstark,Arthor Karstark,1,3,0,0,7.35E-04,0.004899831,Arthor Karstark
Mors-Umber,Mors Umber,3,14,172.6207012,0,0.001423569,0.054685212,Mors Umber
Rickard-Karstark,Rickard Karstark,1,3,0,0,7.35E-04,0.004899831,Rickard Karstark
Arron,Arron,3,14,0,0,0.001301768,0.012342537,Arron
Emrick,Emrick,3,12,0,0,0.001301768,0.012342537,Emrick
Hareth-(Moles-Town),Hareth (Moles Town),8,38,443.6422612,0,0.003064012,0.060977925,Hareth (Moles Town)
Satin,Satin,7,38,569.3410721,0,0.002560593,0.071341826,Satin
Jeyne-Poole,Jeyne Poole,8,58,65.70151901,2,0.002878123,0.072322816,Jeyne Poole
Mance-Rayder,Mance Rayder,16,115,3287.444813,0,0.005618745,0.204328691,Mance Rayder
Ramsay-Snow,Ramsay,16,185,1865.294913,2,0.00559509,0.176359616,Ramsay Snow
Clayton-Suggs,Clayton Suggs,3,15,0,0,0.00123048,0.069760191,Clayton Suggs
Galbart-Glover,Galbart Glover,1,8,0,1,6.45E-04,0.013446735,Galbart Glover
Godry-Farring,Godry Farring,7,29,584.9482987,0,0.002509696,0.134857616,Godry Farring
Grimtongue,Grimtongue,4,17,582.5,1,0.002014809,0.018646384,Grimtongue
Hagen,Hagen,6,21,589.5,1,0.002867866,0.022303289,Hagen
Qarl-the-Maid,Qarl the Maid,3,16,0,1,0.001466721,0.018086071,Qarl the Maid
Rolfe-the-Dwarf,Rolfe the Dwarf,1,3,0,1,6.45E-04,0.013446735,Rolfe the Dwarf
Sybelle-Glover,Sybelle Glover,2,6,332,1,0.001127828,0.014920837,Sybelle Glover
Torgon-Greyiron,Torgon Greyiron,1,3,0,1,6.45E-04,0.013446735,Torgon Greyiron
Tycho-Nestoris,Tycho Nestoris,3,22,420.0160877,0,0.001233597,0.096720574,Tycho Nestoris
Ashara-Dayne,Ashara Dayne,1,3,0,7,6.48E-04,0.004100454,Ashara Dayne
Axell-Florent,Axell Florent,5,23,0.392857143,0,0.001776837,0.115770346,Axell Florent
Selyse-Florent,Selyse,15,138,1395.419154,0,0.005202377,0.156098711,Selyse Florent
Shireen-Baratheon,Shireen Baratheon,6,26,239.465355,0,0.00214419,0.114525468,Shireen Baratheon
Azor-Ahai,Azor Ahai,1,3,0,0,5.77E-04,0.047159642,Azor Ahai
Barbrey-Dustin,Barbrey Dustin,6,37,147.4471786,2,0.002180095,0.095532442,Barbrey Dustin
Roger-Ryswell,Roger Ryswell,2,8,0,2,9.20E-04,0.025850616,Roger Ryswell
Belwas,Belwas,5,39,2.52987013,9,0.001630557,0.090071239,Belwas
Ben-Plumm,Ben Plumm,8,45,264.1975156,9,0.002521943,0.144944182,Ben Plumm
Bloodbeard,Bloodbeard,4,14,8.480952381,9,0.001422044,0.074204824,Bloodbeard
Galazza-Galare,Galazza Galare,6,57,39.30304234,9,0.001949214,0.086824039,Galazza Galare
Grazhar,Grazhar,3,12,2,9,0.001172466,0.029419637,Grazhar
Groleo,Groleo,6,28,2.380952381,9,0.001872676,0.08715495,Groleo
Hizdahr-zo-Loraq,Hizdahr,22,292,1249.746743,9,0.006685564,0.182382679,Hizdahr zo Loraq
Khrazz,Khrazz,5,28,40.72039437,9,0.00177183,0.042216634,Khrazz
Larraq,Larraq,1,3,0,9,5.57E-04,0.018469074,Larraq
Missandei,Missandei,8,83,11.92330447,9,0.002375176,0.115726446,Missandei
Reznak-mo-Reznak,Reznak mo Reznak,5,49,0,9,0.001618086,0.084442348,Reznak mo Reznak
Skahaz-mo-Kandaq,Skahaz mo Kandaq,12,135,10.52626263,9,0.003443284,0.13499684,Skahaz mo Kandaq
Steelskin,Steelskin,3,9,0,9,0.00111626,0.035526998,Steelskin
Widower,Widower,1,3,0,9,5.57E-04,0.018469074,Widower
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,2,19,0,9,8.40E-04,0.054983623,Xaro Xhoan Daxos
Barsena,Barsena,1,4,0,9,5.79E-04,0.036514549,Barsena
Bartimus,Bartimus,1,4,0,0,6.36E-04,0.009540697,Bartimus
Davos-Seaworth,Davos,13,107,1722.849937,0,0.005191946,0.138254074,Davos Seaworth
Belaquo,Belaquo,4,18,1.333333333,9,0.001445704,0.028219712,Belaquo
Goghor-the-Giant,Goghor the Giant,4,22,0.333333333,9,0.001487561,0.024553425,Goghor the Giant
Irri,Irri,9,85,138.8924727,9,0.002651927,0.101779626,Irri
Spotted-Cat,Spotted Cat,6,26,849.8533866,9,0.002289974,0.059763171,Spotted Cat
Ben-Bones,Ben Bones,2,9,0,2,9.08E-04,0.031458253,Ben Bones
Kasporio,Kasporio,3,9,0,7,0.001139765,0.062746415,Kasporio
Penny,Penny,7,92,89.2552743,7,0.002345924,0.115267832,Penny
Tybero-Istarion,Tybero Istarion,3,16,0,7,0.001139765,0.062746415,Tybero Istarion
Benerro,Benerro,4,18,30.57235206,7,0.001438335,0.10094004,Benerro
Moqorro,Moqorro,5,39,805.5555146,1,0.001963056,0.103276446,Moqorro
Benethon-Scales,Benethon Scales,2,7,0,0,9.19E-04,0.015873923,Benethon Scales
Narbert-Grandison,Narbert Grandison,6,24,152.4373705,0,0.002312721,0.05970897,Narbert Grandison
Benjen-Stark,Benjen Stark,1,4,0,0,6.04E-04,0.036114197,Benjen Stark
Black-Balaq,Black Balaq,1,3,0,7,7.06E-04,0.002524191,Black Balaq
Bowen-Marsh,Bowen Marsh,9,102,333.7445171,0,0.003170695,0.128148528,Bowen Marsh
Cellador,Cellador,4,22,0.833333333,0,0.001551702,0.057040832,Cellador
Othell-Yarwyck,Othell Yarwyck,4,41,0.833333333,0,0.001592741,0.053189124,Othell Yarwyck
Tormund,Tormund,8,99,534.3441501,0,0.003058711,0.082660599,Tormund
Wick-Whittlestick,Wick Whittlestick,2,10,0,0,9.04E-04,0.045073702,Wick Whittlestick
Brynden-Rivers,Brynden Rivers,2,17,0,6,9.68E-04,0.013581036,Brynden Rivers
Coldhands,Coldhands,3,13,0,6,0.001334268,0.015620531,Coldhands
Hodor,Hodor,4,86,0.333333333,6,0.001724008,0.017265861,Hodor
Jojen-Reed,Jojen Reed,3,49,0,6,0.001334268,0.015620531,Jojen Reed
Leaf,Leaf,2,11,0,6,9.68E-04,0.013581036,Leaf
Meera-Reed,Meera Reed,6,87,3.833333333,6,0.002551617,0.020130079,Meera Reed
Brandon-Norrey,Brandon Norrey,2,6,504,0,0.001340607,0.036989603,Brandon Norrey
Torghen-Flint,Torghen Flint,1,3,0,0,8.66E-04,0.003066145,Torghen Flint
Brus-Buckler,Brus Buckler,3,15,0,0,0.001255149,0.020152747,Brus Buckler
Malegorn,Malegorn,4,19,64.5421653,0,0.001582399,0.054076205,Malegorn
Bump,Bump,1,5,0,10,9.23E-04,0.001967217,Bump
Varamyr,Varamyr,4,23,1509,10,0.002948124,0.016618648,Varamyr
Caggo,Caggo,5,24,504,9,0.002085135,0.031376848,Caggo
Lucifer-Long,Lucifer Long,1,3,0,9,6.51E-04,0.002986997,Lucifer Long
Meris,Meris,6,43,672.7842075,9,0.002370928,0.065850417,Meris
Camarron,Camarron,1,3,0,9,6.21E-04,0.004789867,Camarron
Moelle,Moelle,3,26,0,5,0.001209008,0.070545365,Moelle
Robert-Strong,Robert Strong,4,14,12.71388653,5,0.001306279,0.112958401,Robert Strong
Scolera,Scolera,3,27,0,5,0.001209008,0.070545365,Scolera
Cleon,Cleon,2,12,0,9,8.68E-04,0.048479284,Cleon
Kedry,Kedry,2,6,0,9,9.01E-04,0.016692694,Kedry
Mully,Mully,5,29,2.333333333,0,0.001935799,0.058935993,Mully
Corliss-Penny,Corliss Penny,1,3,0,0,5.77E-04,0.047159642,Corliss Penny
Cotter-Pyke,Cotter Pyke,3,18,1.416666667,0,0.001314231,0.050433161,Cotter Pyke
Denys-Mallister,Denys Mallister,2,8,0,0,9.77E-04,0.040061274,Denys Mallister
Cromm,Cromm,2,8,0,1,0.001130923,0.004789486,Cromm
Hero,Hero,4,24,0,9,0.001347435,0.060744636,Hero
Jhiqui,Jhiqui,7,65,1.402777778,9,0.00208717,0.092401348,Jhiqui
Daeron-II-Targaryen,Daeron II Targaryen,1,3,0,9,5.79E-04,0.036514549,Daeron II Targaryen
Drogo,Drogo,2,11,0,9,8.72E-04,0.043266776,Drogo
Eroeh,Eroeh,1,3,0,9,5.79E-04,0.036514549,Eroeh
Ezzara,Ezzara,1,3,0,9,5.79E-04,0.036514549,Ezzara
Ghael,Ghael,1,5,0,9,5.79E-04,0.036514549,Ghael
Illyrio-Mopatis,Illyrio Mopatis,5,57,40.05859369,7,0.001638601,0.116752822,Illyrio Mopatis
Jorah-Mormont,Jorah Mormont,4,44,22.23013,7,0.001424389,0.097703979,Jorah Mormont
Lysono-Maar,Lysono Maar,1,3,0,9,5.79E-04,0.036514549,Lysono Maar
Marselen,Marselen,2,7,0,9,0.001007725,0.039658995,Marselen
Mezzara,Mezzara,2,7,0,9,9.19E-04,0.041129269,Mezzara
Miklaz,Miklaz,3,10,504,9,0.001542468,0.042025433,Miklaz
Qavo-Nogarys,Qavo Nogarys,3,16,23.1601663,7,0.00110461,0.093897593,Qavo Nogarys
Qezza,Qezza,5,21,48.61213324,9,0.001997547,0.059194914,Qezza
Quaithe,Quaithe,1,6,0,9,5.79E-04,0.036514549,Quaithe
Symon-Stripeback,Symon Stripeback,2,8,0,9,0.001007725,0.039658995,Symon Stripeback
Yurkhaz-zo-Yunzak,Yurkhaz zo Yunzak,1,4,0,9,5.79E-04,0.036514549,Yurkhaz zo Yunzak
Val,Val,8,94,439.2156118,0,0.002651337,0.159536972,Val
Damon-Dance-for-Me,Damon Dance for Me,5,26,1.5,2,0.001957469,0.041415616,Damon Dance for Me
Grunt,Grunt,3,13,0,2,0.001271103,0.026628385,Grunt
Skinner,Skinner,5,25,504,2,0.00212782,0.039875575,Skinner
Sour-Alyn,Sour Alyn,6,34,3,2,0.002312694,0.044212998,Sour Alyn
Garth-(Wolfs-Den),Garth (Wolfs Den),2,7,0,0,9.91E-04,0.014596446,Garth (Wolfs Den)
Godric-Borrell,Godric Borrell,1,9,0,0,6.36E-04,0.009540697,Godric Borrell
Leona-Woolfield,Leona Woolfield,2,7,0,0,9.60E-04,0.020564049,Leona Woolfield
Marlon-Manderly,Marlon Manderly,2,8,0,0,9.17E-04,0.056700339,Marlon Manderly
Robett-Glover,Robett Glover,2,8,0,0,9.17E-04,0.056700339,Robett Glover
Salladhor-Saan,Salladhor Saan,2,19,0,0,9.17E-04,0.056700339,Salladhor Saan
Denzo-Dhan,Denzo Dhan,1,3,0,9,6.32E-04,0.005144231,Denzo Dhan
Devan-Seaworth,Devan Seaworth,3,23,0,0,0.00117827,0.096884372,Devan Seaworth
Dick-Straw,Dick Straw,2,7,504,9,0.001365797,0.006565617,Dick Straw
Hugh-Hungerford,Hugh Hungerford,1,3,0,9,8.77E-04,0.001198828,Hugh Hungerford
Donal-Noye,Donal Noye,2,10,0,0,9.59E-04,0.040500764,Donal Noye
Draqaz,Draqaz,1,3,0,9,7.33E-04,0.003391601,Draqaz
Dryn,Dryn,1,3,0,0,6.21E-04,0.00624956,Dryn
Willam-Dustin,Willam Dustin,2,7,0,0,8.04E-04,0.05692439,Willam Dustin
Emmett,Emmett,5,34,2.333333333,0,0.001934342,0.055459848,Emmett
Hobb,Hobb,5,19,5.957255245,0,0.001920858,0.064437605,Hobb
Janos-Slynt,Janos Slynt,3,24,0,0,0.001231935,0.047366458,Janos Slynt
Hop-Robin,Hop Robin,3,13,0,0,0.001258724,0.04565089,Hop Robin
Frenya,Frenya,2,9,0,2,9.61E-04,0.022022979,Frenya
Holly,Holly,4,23,1,2,0.001646264,0.030841287,Holly
Fulk,Fulk,2,9,0,0,9.33E-04,0.04073274,Fulk
Garth-Greyfeather,Garth Greyfeather,3,11,0,0,0.001394618,0.043144346,Garth Greyfeather
Hairy-Hal,Hairy Hal,3,11,0,0,0.001394618,0.043144346,Hairy Hal
Jack-Bulwer,Jack Bulwer,3,10,0,0,0.001394618,0.043144346,Jack Bulwer
Gerrick-Kingsblood,Gerrick Kingsblood,2,8,504,0,0.001340607,0.036989603,Gerrick Kingsblood
Raymun-Redbeard,Raymun Redbeard,1,3,0,0,8.66E-04,0.003066145,Raymun Redbeard
Todder,Todder,2,7,0,0,0.001087445,0.007658629,Todder
Lorren,Lorren,4,14,505.5,1,0.002272834,0.007336374,Lorren
Haggon,Haggon,1,8,0,10,9.23E-04,0.001967217,Haggon
Pono,Pono,1,3,0,7,5.69E-04,0.008650903,Pono
Leathers,Leathers,5,37,5.666666667,0,0.001943455,0.055567811,Leathers
Rory,Rory,2,10,0,0,9.30E-04,0.041191539,Rory
Harl,Harl,1,3,0,1,7.79E-04,0.001474102,Harl
Myles-Toyne,Myles Toyne,2,13,0,7,9.22E-04,0.017759734,Myles Toyne
Harwood-Stout,Harwood Stout,1,5,0,2,6.11E-04,0.019130437,Harwood Stout
Marghaz-zo-Loraq,Marghaz zo Loraq,1,5,0,9,5.55E-04,0.013434708,Marghaz zo Loraq
Owen,Owen,2,8,0,0,9.31E-04,0.041075237,Owen
Rowan,Rowan,5,27,15.28654483,2,0.001891315,0.045433161,Rowan
Hoster-Blackwood,Hoster Blackwood,1,4,0,5,5.85E-04,0.049395713,Hoster Blackwood
Hother-Umber,Hother Umber,4,16,512.1761905,0,0.001919669,0.028193182,Hother Umber
Jon-Umber-(Greatjon),Jon Umber (Greatjon),1,3,0,0,7.04E-04,0.002625739,Jon Umber (Greatjon)
Jonos-Bracken,Jonos Bracken,1,9,0,5,5.85E-04,0.049395713,Jonos Bracken
Tytos-Blackwood,Tytos Blackwood,1,6,0,5,5.85E-04,0.049395713,Tytos Blackwood
Jared-Frey,Jared Frey,1,3,0,0,8.77E-04,0.001487253,Jared Frey
Rhaegar-Frey,Rhaegar Frey,2,6,504,0,0.001365671,0.011816135,Rhaegar Frey
Squirrel,Squirrel,4,20,2.079761905,2,0.001536492,0.042796312,Squirrel
Nyessos-Vhassar,Nyessos Vhassar,2,10,504,7,0.001288626,0.015984803,Nyessos Vhassar
Patrek-of-Kings-Mountain,Patrek of Kings Mountain,4,20,0.333333333,0,0.001558421,0.056369476,Patrek of Kings Mountain
Rattleshirt,Rattleshirt,2,29,0,0,8.97E-04,0.04972473,Rattleshirt
Soren-Shieldbreaker,Soren Shieldbreaker,1,3,0,0,6.04E-04,0.036114197,Soren Shieldbreaker
Tom-Barleycorn,Tom Barleycorn,1,4,0,0,6.04E-04,0.036114197,Tom Barleycorn
Toregg,Toregg,3,18,0,0,0.001259717,0.046823369,Toregg
Ulmer,Ulmer,1,3,0,0,6.04E-04,0.036114197,Ulmer
Weeper,Weeper,3,16,0.666666667,0,0.001267788,0.046546613,Weeper
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun,4,28,1.916666667,0,0.001560689,0.056059338,Wun Weg Wun Dar Wun
Ygritte,Ygritte,2,17,0,0,8.97E-04,0.04972473,Ygritte
Nurse,Nurse,4,28,0.333333333,7,0.001447752,0.067858122,Nurse
Joramun,Joramun,2,7,0,0,8.88E-04,0.027736214,Joramun
Richard-Horpe,Richard Horpe,2,10,0,1,9.13E-04,0.05268316,Richard Horpe
Kerwin,Kerwin,1,12,0,1,6.88E-04,0.009488798,Kerwin
Longwater-Pyke,Longwater Pyke,1,3,0,1,6.88E-04,0.009488798,Longwater Pyke
Luton,Luton,1,3,0,2,6.58E-04,0.003526602,Luton
Lyanna-Mormont,Lyanna Mormont,1,3,0,0,5.77E-04,0.047159642,Lyanna Mormont
Lyanna-Stark,Lyanna Stark,1,4,0,7,5.81E-04,0.015048769,Lyanna Stark
Maege-Mormont,Maege Mormont,1,4,0,6,5.99E-04,0.016976959,Maege Mormont
Malaquo-Maegyr,Malaquo Maegyr,1,7,0,7,8.44E-04,0.0016874,Malaquo Maegyr
Marya-Seaworth,Marya Seaworth,1,3,0,0,5.77E-04,0.047159642,Marya Seaworth
Rodrik-Sparr,Rodrik Sparr,2,11,0,1,0.001021526,0.016531245,Rodrik Sparr
Morgo,Morgo,1,4,0,7,5.49E-04,0.04873214,Morgo
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz,5,48,1.833333333,7,0.001831403,0.069178863,Yezzan zo Qaggaz
Old-Bill-Bone,Old Bill Bone,1,3,0,9,5.85E-04,0.011964734,Old Bill Bone
Patchface,Patchface,2,6,0,0,8.95E-04,0.018885974,Patchface
Sweets,Sweets,3,17,0,7,0.001145076,0.061346997,Sweets
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett),3,19,1.166666667,2,0.001327319,0.033623307,Walder Frey (son of Merrett)
Yellow-Dick,Yellow Dick,3,15,0,2,0.001235575,0.035335541,Yellow Dick
Rodrik-Cassel,Rodrik Cassel,2,6,0,6,9.14E-04,0.036107396,Rodrik Cassel
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett),2,7,0,2,9.05E-04,0.027973976,Walda Frey (daughter of Merrett)
Roose-Ryswell,Roose Ryswell,1,3,0,0,5.77E-04,0.047159642,Roose Ryswell
Scar,Scar,2,12,0,7,8.60E-04,0.053592181,Scar
Tysha,Tysha,2,8,0,7,9.55E-04,0.052385121,Tysha
Shrouded-Lord,Shrouded Lord,1,4,0,7,5.49E-04,0.04873214,Shrouded Lord
Theomore,Theomore,2,6,0,0,9.01E-04,0.058182994,Theomore
William-Foxglove,William Foxglove,1,3,0,0,5.77E-04,0.047159642,William Foxglove
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jammos),2,16,0,2,9.87E-04,0.022069909,Walder Frey (son of Jammos)
Wex-Pyke,Wex Pyke,1,3,0,2,6.11E-04,0.019130437,Wex Pyke
Willow-Witch-eye,Willow Witch eye,1,4,0,2,6.11E-04,0.019130437,Willow Witch eye
Thistle,Thistle,1,7,0,10,9.23E-04,0.001967217,Thistle
Wulfe,Wulfe,1,3,0,1,6.88E-04,0.009488798,Wulfe
