id,label,degree,weighted degree,pagerank,betweenness,modularity class,eigencentrality,top label
Koss,Koss,2,8,0.001541228,0,4,0.049487838,
Lommy-Greenhands,Lommy Greenhands,6,99,0.003699876,2,4,0.071230009,
Praed,Praed,1,3,0.001052974,0,4,0.039207462,
Rickon-Stark,Rickon Stark,15,145,0.008144024,820.5224829,5,0.308593033,Rickon
Robb-Stark,Robb,35,344,0.019790639,5468.276418,3,0.73655255,Robb
Rorge,Rorge,6,53,0.003808544,78.5535138,4,0.066958778,
Sansa-Stark,Sansa,27,313,0.01327854,1791.413585,2,0.682791629,Sansa
Syrio-Forel,Syrio Forel,2,8,0.001541228,0,4,0.049487838,
Weasel,Weasel,4,27,0.002533678,1.5,4,0.059948313,
Weese,Weese,8,49,0.003980745,17.09333686,4,0.155502277,
Woth,Woth,5,18,0.003150139,0,4,0.067351857,
Arys-Oakheart,Arys Oakheart,3,13,0.001892533,0,2,0.111112694,
Myrcella-Baratheon,Myrcella,11,66,0.006429858,572.1569804,2,0.29893399,Myrcella
Asha-Greyjoy,Asha Greyjoy,4,46,0.003079711,8.503673709,5,0.036882417,
Balon-Greyjoy,Balon Greyjoy,8,53,0.005058864,392.8557354,5,0.180429968,
Wex-Pyke,Wex Pyke,5,29,0.004173537,209.9138221,5,0.03113434,
Axell-Florent,Axell Florent,2,9,0.001656566,0,3,0.04345586,
Selyse-Florent,Selyse,4,27,0.002855461,1.333333333,3,0.057499749,
Bael-the-Bard,Bael the Bard,1,5,0.001369316,0,0,0.002426353,
Ygritte,Ygritte,4,24,0.003718038,257.3333333,0,0.025248623,
Ballabar,Ballabar,2,15,0.001569445,0,2,0.058561697,
Podrick-Payne,Podrick Payne,4,23,0.0025413,1.166666667,2,0.095520882,
Catelyn-Stark,Catelyn,33,320,0.018224704,3681.436294,3,0.653312414,Catelyn
Victarion-Greyjoy,Victarion Greyjoy,2,7,0.001739348,0,5,0.030256499,
Balon-Swann,Balon ,5,24,0.002668627,0.6,2,0.156152697,
Mandon-Moore,Mandon Moore,7,44,0.003540523,15.63067381,2,0.229538335,
Osmund-Kettleblack,Osmund Kettleblack,7,40,0.00366162,23.27403109,2,0.234724627,
Barristan-Selmy,Barristan Selmy,6,26,0.003612346,386.9893785,2,0.184582076,
Varys,Varys,21,224,0.010299734,398.4319653,2,0.514189507,Varys
Benfred-Tallhart,Benfred Tallhart,4,16,0.003964377,271.11945,5,0.024428839,
Helman-Tallhart,Helman Tallhart,1,3,0.001421661,0,5,0.002402979,
Leobald-Tallhart,Leobald Tallhart,3,11,0.002579618,9.946218487,5,0.018554891,
Stygg,Stygg,3,10,0.002905009,1.333333333,5,0.023844293,
Benjen-Stark,Benjen Stark,1,5,0.001191971,0,0,0.005974598,
Thoros-of-Myr,Thoros of Myr,1,3,0.001607245,0,4,0.0029011,
Beth-Cassel,Beth Cassel,3,11,0.002255906,0,5,0.053995195,
Rodrik-Cassel,Rodrik Cassel,16,120,0.010103932,696.7194645,5,0.16934787,Rodrik
Boros-Blount,Boros Blount,8,58,0.003916989,3.33751596,2,0.263255549,
Gyles-Rosby,Gyles Rosby,9,39,0.004577323,153.3028844,2,0.259224194,
Tanda-Stokeworth,Tanda Stokeworth,6,26,0.003318993,105.6793143,2,0.175780808,
Tommen-Baratheon,Tommen,10,86,0.004810919,8.090460525,2,0.301924702,
Chayle,Chayle,2,7,0.001702055,0,5,0.027438877,
Cley-Cerwyn,Cley Cerwyn,3,12,0.00225438,0,5,0.039276996,
Donella-Hornwood,Donella Hornwood,7,28,0.005114727,290.1086747,5,0.060464106,
Hodor,Hodor,8,122,0.004631498,4.224747475,5,0.090509287,
