id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,short label,modularity_class,top label
Howland-Reed,Howland Reed,1,3,0,5,0.001388061,0.050873836,Howland Reed,4,
Hugh,Hugh,1,3,0,5,0.001333907,0.020557406,Hugh,4,
Hullen,Hullen,6,20,7.766286013,0,0.004079692,0.136795422,Hullen,1,
Illyrio-Mopatis,Illyrio Mopatis,6,70,20.63372088,1,0.004340302,0.081007406,Illyrio,3,
Ilyn-Payne,Ilyn Payne,9,43,5.504869039,4,0.005396849,0.286004546,Ilyn Payne,0,
Irri,Irri,8,81,1.65,1,0.00577563,0.045170034,Irri,3,
Jacks,Jacks,1,4,0,5,0.001388061,0.050873836,Jacks,4,
Jafer-Flowers,Jafer Flowers,1,3,0,3,0.001665882,0.003586668,Jafer Flowers,6,
Jaime-Lannister,Jaime Lannister,29,241,550.7243812,6,0.017500556,0.649259237,Jaime,2,Jaime
Janos-Slynt,Janos Slynt,7,25,0,5,0.004289597,0.258118191,Janos Slynt,4,
Jared-Frey,Jared Frey,2,6,0,2,0.003689412,0.001934801,Jared Frey,5,
Jaremy-Rykker,Jaremy Rykker,4,24,185,3,0.004064119,0.058742324,Jaremy Rykker,6,
Jeor-Mormont,Jeor Mormont,13,181,487.6864094,3,0.009551831,0.205408778,Jeor,6,Jeor
Jeyne-Poole,Jeyne Poole,6,54,1.051190476,4,0.003840078,0.162276339,Jeyne Poole,0,
Jhiqui,Jhiqui,5,60,0,1,0.003878366,0.032432988,Jhiqui,3,
Jhogo,Jhogo,6,43,0.75,1,0.004552966,0.035098463,Jhogo,3,
Joffrey-Baratheon,Joffrey Baratheon,30,422,326.0235719,4,0.016708993,0.730182831,Joffrey,0,Joffrey
Jommo,Jommo,2,6,0,1,0.002677586,0.00881031,Jommo,3,
Jon-Arryn,Jon Arryn,15,169,215.4933759,5,0.009385519,0.413977397,Jon Arryn,4,Jon Arryn
Jon-Snow,Jon Snow,37,784,2952.057282,3,0.02684058,0.593371336,Jon,6,Jon
Jon-Umber-(Greatjon),Jon Umber (Greatjon),8,39,57.19409057,0,0.005595913,0.138091438,Greatjon,1,
Jonos-Bracken,Jonos Bracken,1,3,0,6,0.001810483,0.003062701,Jonos Bracken,2,
Jorah-Mormont,Jorah Mormont,13,154,216.9740913,1,0.008846708,0.106108177,Jorah,3,Jorah
Jory-Cassel,Jory Cassel,21,152,301.5096848,5,0.01259251,0.484190284,Jory,4,Jory Cassel
Joseth,Joseth,2,7,0,0,0.001875372,0.051140509,Joseth,1,
Joss,Joss,1,5,0,5,0.001388061,0.050873836,Joss,4,
Jyck,Jyck,2,11,0,6,0.002456212,0.041704404,Jyck,2,
Karyl-Vance,Karyl Vance,3,11,185,6,0.003689948,0.018481351,Karyl Vance,2,
Kevan-Lannister,Kevan Lannister,3,28,0,6,0.002445996,0.095078054,Kevan Lannister,2,
